,train,valid
380,3.368303125,10.05905342
381,3.11583917,11.93449593
382,3.228658856,9.849608421
383,3.294794026,11.48573112
384,3.164895125,11.09856701
385,3.121000041,11.31249714
386,3.405641595,10.08529568
387,3.191986381,10.87717724
388,3.154532821,9.789059639
389,3.074649495,9.335350037
390,3.120277221,8.213181496
391,3.296820569,11.73671818
392,3.120804527,9.809885025
393,3.286465959,6.03950119
394,3.297329092,11.83597279
395,3.077937146,9.209001541
396,3.237730419,11.21529484
397,3.179887616,9.020292282
398,3.137565621,11.16291809
399,3.044505345,9.420806885
400,3.030515018,10.76650143
401,3.100434105,13.15030956
402,3.410550074,11.05408192
403,3.090275352,11.42708302
404,3.150306677,9.264433861
405,3.013392753,10.4402647
406,3.066588865,9.114341736
407,3.155990285,14.4630146
408,3.225659499,11.91129303
409,3.253001857,9.831596375
410,3.214375353,10.80699158
411,3.097876366,10.82657814
412,3.009774772,8.238398552
413,3.07075442,8.146948814
414,3.074115724,11.24222851
415,3.116544295,8.759008408
416,3.063016338,8.081457138
417,3.291870906,11.64618683
418,3.087553572,13.76248837
419,3.164039794,8.712332726
420,3.150560057,12.53572083
421,3.169885483,9.692399979
422,3.269588468,9.889313698
423,3.155924548,9.912029266
424,2.959809869,11.43751621
425,3.041334095,7.507255554
426,3.195187141,9.543688774
427,3.069643381,11.19866085
428,3.155568883,11.93537426
429,3.116440849,12.56716251
430,2.990386781,7.513609886
431,3.125094972,11.49682236
432,3.157801367,10.7339077
433,3.032343319,8.315928459
434,2.9907362,13.09168625
435,3.208142209,8.823177338
436,3.007435852,6.821908474
437,3.112220038,9.14662075
438,3.100524041,12.84367561
439,3.031047188,9.430429459
440,3.027802336,8.019997597
441,3.14370406,9.32426548
442,3.106616018,7.342349529
443,3.183827131,9.714258194
444,3.031161367,8.929270744
445,3.1855092,6.035116673
446,3.229539916,8.111174583
447,3.21236563,9.527454376
448,3.019049254,9.344708443
449,3.027047384,10.65249348
450,3.147296924,12.41687489
451,3.001258389,11.95272255
452,3.04956945,8.30412674
453,3.242622066,9.221347809
454,3.063242377,7.161594391
455,3.252772936,10.96584511
456,3.145081996,8.159305573
457,3.04660403,10.04526711
458,3.159030414,9.185463905
459,3.088697288,11.70251846
460,3.026075284,11.6768198
461,3.013236841,11.19792747
462,3.080749635,7.309278488
463,2.957686737,7.082921028
464,3.084291602,11.68126774
465,3.106817305,8.934659958
466,3.15957541,6.976646423
467,3.103472836,8.136738777
468,3.029713245,9.088589668
469,3.101037246,9.261809349
470,3.094032965,6.573802471
471,3.184787503,7.736679077
472,3.149117666,8.864128113
473,3.00848878,6.488585472
474,3.146751078,10.29608822
475,3.222684027,7.352784634
476,3.100323254,12.60852718
477,3.13277344,8.843198776
478,2.999947768,9.143252373
479,3.102542572,8.323220253
480,3.063107572,6.807171822
481,3.073041591,11.04458714
482,3.00734994,11.28133488
483,3.153459308,9.605184555
484,2.954863813,9.82597065
485,2.927072102,8.784243584
486,2.996720295,7.485030174
487,3.013632345,11.6846323
488,3.09126569,11.04696083
489,3.031326532,8.30619812
490,3.153654202,7.729264736
491,3.055701664,9.491775513
492,3.140280891,13.34318638
493,3.214250559,10.87954807
494,3.091835738,8.690102577
495,3.044581152,9.722672462
496,3.048495746,8.860079765
497,3.042320233,8.441823959
498,3.132753294,6.34183979
499,3.002550284,7.826972008
500,2.890751343,8.747926712
501,3.059639966,8.135598183
502,3.028103046,9.950171471
503,3.066737554,7.30591917
504,3.246736497,13.13057041
505,3.011140673,9.685791969
506,3.051953677,8.108462334
507,3.072060927,8.390434265
508,3.074550391,12.76959324
509,3.125595549,8.360774994
510,3.05312053,8.40711689
511,3.035086777,8.934556961
512,3.134743068,12.71419907
513,3.115559767,8.460978508
514,3.169142606,8.732167244
515,2.942843174,7.544992447
516,3.070749185,6.551277161
517,3.028359072,11.34969234
518,3.104364607,7.679456711
519,2.982892956,7.884641171
520,3.034206615,8.263653755
521,3.009365572,7.418177128
522,3.113876743,7.257017612
523,2.940516378,9.553857803
524,3.07480879,8.563064575
525,2.975167411,6.818966866
526,3.18409086,10.29498863
527,2.988423089,7.547744751
528,2.916062463,11.47669411
529,3.094513982,7.642532349
530,2.950726591,6.514533997
531,3.122146093,7.424275398
532,3.044473837,10.71198654
533,3.13149509,8.35976696
534,2.92066477,10.4896307
535,3.039265232,7.828658581
536,2.912866775,6.425007343
537,3.224916411,10.20396996
538,3.137505993,6.387090206
539,3.07649472,6.686125278
540,3.03827295,12.15360832
541,2.990728684,6.228101254
542,3.031035098,6.958230972
543,3.00541572,8.858718872
544,2.977412334,7.426199436
